,year,month,song,songfreq
0,2009,3,I Know You Want Me (Calle Ocho),3
1,2009,4,I Know You Want Me (Calle Ocho),4
2,2009,5,I Know You Want Me (Calle Ocho),5
3,2009,6,I Know You Want Me (Calle Ocho),4
4,2009,7,I Know You Want Me (Calle Ocho),4
5,2009,7,Hotel Room Service,4
6,2009,8,Hotel Room Service,5
7,2009,8,I Know You Want Me (Calle Ocho),5
8,2009,9,Hotel Room Service,4
9,2009,9,I Know You Want Me (Calle Ocho),4
10,2009,10,Hotel Room Service,5
11,2009,10,I Know You Want Me (Calle Ocho),5
12,2009,11,Hotel Room Service,4
13,2009,11,I Know You Want Me (Calle Ocho),1
14,2009,12,Hotel Room Service,1
15,2010,11,"Bon, Bon",2
16,2010,12,"Bon, Bon",3
17,2011,6,Pause,1
18,2012,4,Back In Time,2
19,2012,5,Back In Time,4
20,2012,6,Back In Time,5
21,2012,7,Back In Time,4
22,2012,8,Back In Time,4
23,2012,9,Back In Time,1
