,year,month,song,songfreq,appearance,date
0,2009,1,None,0.0,0,2009-01-01
1,2009,2,None,0.0,0,2009-02-01
2,2009,3,I Know You Want Me (Calle Ocho),3.0,1,2009-03-01
3,2009,4,I Know You Want Me (Calle Ocho),4.0,1,2009-04-01
4,2009,5,I Know You Want Me (Calle Ocho),5.0,1,2009-05-01
5,2009,6,I Know You Want Me (Calle Ocho),4.0,1,2009-06-01
6,2009,7,I Know You Want Me (Calle Ocho),4.0,1,2009-07-01
7,2009,7,Hotel Room Service,4.0,1,2009-07-01
8,2009,8,Hotel Room Service,5.0,1,2009-08-01
9,2009,8,I Know You Want Me (Calle Ocho),5.0,1,2009-08-01
10,2009,9,Hotel Room Service,4.0,1,2009-09-01
11,2009,9,I Know You Want Me (Calle Ocho),4.0,1,2009-09-01
12,2009,10,Hotel Room Service,5.0,1,2009-10-01
13,2009,10,I Know You Want Me (Calle Ocho),5.0,1,2009-10-01
14,2009,11,Hotel Room Service,4.0,1,2009-11-01
15,2009,11,I Know You Want Me (Calle Ocho),1.0,1,2009-11-01
16,2009,12,Hotel Room Service,1.0,1,2009-12-01
17,2010,1,None,0.0,0,2010-01-01
18,2010,2,None,0.0,0,2010-02-01
19,2010,3,None,0.0,0,2010-03-01
20,2010,4,None,0.0,0,2010-04-01
21,2010,5,None,0.0,0,2010-05-01
22,2010,6,None,0.0,0,2010-06-01
23,2010,7,None,0.0,0,2010-07-01
24,2010,8,None,0.0,0,2010-08-01
25,2010,9,None,0.0,0,2010-09-01
26,2010,10,None,0.0,0,2010-10-01
27,2010,11,"Bon, Bon",2.0,1,2010-11-01
28,2010,12,"Bon, Bon",3.0,1,2010-12-01
29,2011,1,None,0.0,0,2011-01-01
30,2011,2,None,0.0,0,2011-02-01
31,2011,3,None,0.0,0,2011-03-01
32,2011,4,None,0.0,0,2011-04-01
33,2011,5,None,0.0,0,2011-05-01
34,2011,6,Pause,1.0,1,2011-06-01
35,2011,7,None,0.0,0,2011-07-01
36,2011,8,None,0.0,0,2011-08-01
37,2011,9,None,0.0,0,2011-09-01
38,2011,10,None,0.0,0,2011-10-01
39,2011,11,None,0.0,0,2011-11-01
40,2011,12,None,0.0,0,2011-12-01
41,2012,1,None,0.0,0,2012-01-01
42,2012,2,None,0.0,0,2012-02-01
43,2012,3,None,0.0,0,2012-03-01
44,2012,4,Back In Time,2.0,1,2012-04-01
45,2012,5,Back In Time,4.0,1,2012-05-01
46,2012,6,Back In Time,5.0,1,2012-06-01
47,2012,7,Back In Time,4.0,1,2012-07-01
48,2012,8,Back In Time,4.0,1,2012-08-01
49,2012,9,Back In Time,1.0,1,2012-09-01
50,2012,10,None,0.0,0,2012-10-01
51,2012,11,None,0.0,0,2012-11-01
52,2012,12,None,0.0,0,2012-12-01
