,date,rank,song,artist,last-week,peak-rank,weeks-on-board
17588,2018-06-30,89,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,80.0,36,9
17679,2018-06-23,80,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,75.0,36,8
17774,2018-06-16,75,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,61.0,36,7
17860,2018-06-09,61,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,62.0,36,6
17961,2018-06-02,62,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,57.0,36,5
18056,2018-05-26,57,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,36.0,36,4
18135,2018-05-19,36,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,43.0,36,3
18242,2018-05-12,43,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,81.0,43,2
18380,2018-05-05,81,Dame Tu Cosita,Pitbull x El Chombo x Karol G Featuring Cutty Ranks,,81,1
25695,2016-12-10,96,Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,96.0,95,4
25795,2016-12-03,96,Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,97.0,95,3
25896,2016-11-26,97,Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,,95,2
26094,2016-11-12,95,Greenlight,Pitbull Featuring Flo Rida & LunchMoney Lewis,,95,1
27687,2016-07-23,88,Messin' Around,Pitbull Featuring Enrique Iglesias,,64,8
27976,2016-07-02,77,Messin' Around,Pitbull Featuring Enrique Iglesias,64.0,64,7
28063,2016-06-25,64,Messin' Around,Pitbull Featuring Enrique Iglesias,69.0,64,6
28168,2016-06-18,69,Messin' Around,Pitbull Featuring Enrique Iglesias,66.0,66,5
28265,2016-06-11,66,Messin' Around,Pitbull Featuring Enrique Iglesias,95.0,66,4
28394,2016-06-04,95,Messin' Around,Pitbull Featuring Enrique Iglesias,98.0,70,3
28497,2016-05-28,98,Messin' Around,Pitbull Featuring Enrique Iglesias,,70,2
28869,2016-04-30,70,Messin' Around,Pitbull Featuring Enrique Iglesias,,70,1
32295,2015-09-05,96,Fun,Pitbull Featuring Chris Brown,74.0,40,15
32373,2015-08-29,74,Fun,Pitbull Featuring Chris Brown,63.0,40,14
32462,2015-08-22,63,Fun,Pitbull Featuring Chris Brown,57.0,40,13
32556,2015-08-15,57,Fun,Pitbull Featuring Chris Brown,42.0,40,12
32597,2015-08-15,98,Back It Up,Prince Royce Featuring Jennifer Lopez & Pitbull,,92,2
32641,2015-08-08,42,Fun,Pitbull Featuring Chris Brown,40.0,40,11
32739,2015-08-01,40,Fun,Pitbull Featuring Chris Brown,42.0,40,10
32841,2015-07-25,42,Fun,Pitbull Featuring Chris Brown,40.0,40,9
32939,2015-07-18,40,Fun,Pitbull Featuring Chris Brown,40.0,40,8
33039,2015-07-11,40,Fun,Pitbull Featuring Chris Brown,44.0,40,7
33143,2015-07-04,44,Fun,Pitbull Featuring Chris Brown,47.0,44,6
33246,2015-06-27,47,Fun,Pitbull Featuring Chris Brown,50.0,47,5
33249,2015-06-27,50,Time Of Our Lives,Pitbull & Ne-Yo,48.0,9,27
33291,2015-06-27,92,Back It Up,Prince Royce Featuring Jennifer Lopez & Pitbull,,92,1
33347,2015-06-20,48,Time Of Our Lives,Pitbull & Ne-Yo,47.0,9,26
33349,2015-06-20,50,Fun,Pitbull Featuring Chris Brown,53.0,50,4
33446,2015-06-13,47,Time Of Our Lives,Pitbull & Ne-Yo,46.0,9,25
33452,2015-06-13,53,Fun,Pitbull Featuring Chris Brown,54.0,53,3
33545,2015-06-06,46,Time Of Our Lives,Pitbull & Ne-Yo,37.0,9,24
33553,2015-06-06,54,Fun,Pitbull Featuring Chris Brown,77.0,54,2
