Category: All categories

Month,Pitbull: (United States)
2004-01,7
2004-02,9
2004-03,10
2004-04,13
2004-05,20
2004-06,14
2004-07,15
2004-08,20
2004-09,23
2004-10,19
2004-11,18
2004-12,20
2005-01,20
2005-02,23
2005-03,23
2005-04,32
2005-05,34
2005-06,28
2005-07,23
2005-08,19
2005-09,22
2005-10,30
2005-11,28
2005-12,26
2006-01,24
2006-02,23
2006-03,23
2006-04,24
2006-05,25
2006-06,20
2006-07,19
2006-08,19
2006-09,19
2006-10,24
2006-11,30
2006-12,24
2007-01,22
2007-02,23
2007-03,27
2007-04,22
2007-05,21
2007-06,21
2007-07,21
2007-08,22
2007-09,21
2007-10,21
2007-11,26
2007-12,32
2008-01,29
2008-02,29
2008-03,29
2008-04,29
2008-05,23
2008-06,20
2008-07,19
2008-08,18
2008-09,24
2008-10,30
2008-11,28
2008-12,24
2009-01,30
2009-02,27
2009-03,36
2009-04,45
2009-05,54
2009-06,52
2009-07,51
2009-08,59
2009-09,64
2009-10,46
2009-11,42
2009-12,45
2010-01,43
2010-02,38
2010-03,38
2010-04,38
2010-05,40
2010-06,38
2010-07,42
2010-08,43
2010-09,48
2010-10,54
2010-11,55
2010-12,52
2011-01,49
2011-02,46
2011-03,51
2011-04,70
2011-05,94
2011-06,97
2011-07,100
2011-08,92
2011-09,80
2011-10,67
2011-11,78
2011-12,74
2012-01,79
2012-02,72
2012-03,75
2012-04,84
2012-05,88
2012-06,74
2012-07,73
2012-08,57
2012-09,46
2012-10,39
2012-11,54
2012-12,58
2013-01,73
2013-02,61
2013-03,56
2013-04,58
2013-05,73
2013-06,63
2013-07,57
2013-08,43
2013-09,32
2013-10,33
2013-11,61
2013-12,57
2014-01,58
2014-02,43
2014-03,43
2014-04,49
2014-05,54
2014-06,63
2014-07,44
2014-08,40
2014-09,48
2014-10,49
2014-11,66
2014-12,47
2015-01,64
2015-02,47
2015-03,43
2015-04,33
2015-05,50
2015-06,38
2015-07,42
2015-08,28
2015-09,27
2015-10,29
2015-11,28
2015-12,30
2016-01,42
2016-02,40
2016-03,28
2016-04,31
2016-05,41
2016-06,34
2016-07,46
2016-08,27
2016-09,25
2016-10,31
2016-11,22
2016-12,24
2017-01,26
2017-02,23
2017-03,26
2017-04,29
2017-05,30
2017-06,32
2017-07,28
2017-08,20
2017-09,22
2017-10,24
2017-11,20
2017-12,18
2018-01,22
2018-02,19
2018-03,18
2018-04,18
2018-05,22
2018-06,19
2018-07,22
2018-08,19
2018-09,16
2018-10,16
2018-11,14
2018-12,18
2019-01,19
2019-02,16
2019-03,17
2019-04,18
2019-05,19
2019-06,20
2019-07,18
2019-08,19
2019-09,16
2019-10,16
2019-11,20
2019-12,23
2020-01,20
2020-02,34
2020-03,15
2020-04,18
2020-05,16
2020-06,15
2020-07,15
2020-08,15
2020-09,16
2020-10,22
2020-11,16
2020-12,15
2021-01,19
2021-02,21
2021-03,16
2021-04,17
2021-05,16
2021-06,33
2021-07,28
2021-08,35
2021-09,57
2021-10,40
2021-11,18
2021-12,20
2022-01,20
2022-02,21
2022-03,16
2022-04,27
2022-05,22
2022-06,25
2022-07,31
2022-08,37
2022-09,35
2022-10,28
2022-11,17
