,Interest Index,Date,Month,Year
1,7,2004-01-01,1,2004
2,9,2004-02-01,2,2004
3,10,2004-03-01,3,2004
4,13,2004-04-01,4,2004
5,20,2004-05-01,5,2004
6,14,2004-06-01,6,2004
7,15,2004-07-01,7,2004
8,20,2004-08-01,8,2004
9,23,2004-09-01,9,2004
10,19,2004-10-01,10,2004
11,18,2004-11-01,11,2004
12,20,2004-12-01,12,2004
13,20,2005-01-01,1,2005
14,23,2005-02-01,2,2005
15,23,2005-03-01,3,2005
16,32,2005-04-01,4,2005
17,34,2005-05-01,5,2005
18,28,2005-06-01,6,2005
19,23,2005-07-01,7,2005
20,19,2005-08-01,8,2005
21,22,2005-09-01,9,2005
22,30,2005-10-01,10,2005
23,28,2005-11-01,11,2005
24,26,2005-12-01,12,2005
25,24,2006-01-01,1,2006
26,23,2006-02-01,2,2006
27,23,2006-03-01,3,2006
28,24,2006-04-01,4,2006
29,25,2006-05-01,5,2006
30,20,2006-06-01,6,2006
31,19,2006-07-01,7,2006
32,19,2006-08-01,8,2006
33,19,2006-09-01,9,2006
34,24,2006-10-01,10,2006
35,30,2006-11-01,11,2006
36,24,2006-12-01,12,2006
37,22,2007-01-01,1,2007
38,23,2007-02-01,2,2007
39,27,2007-03-01,3,2007
40,22,2007-04-01,4,2007
41,21,2007-05-01,5,2007
42,21,2007-06-01,6,2007
43,21,2007-07-01,7,2007
44,22,2007-08-01,8,2007
45,21,2007-09-01,9,2007
46,21,2007-10-01,10,2007
47,26,2007-11-01,11,2007
48,32,2007-12-01,12,2007
49,29,2008-01-01,1,2008
50,29,2008-02-01,2,2008
51,29,2008-03-01,3,2008
52,29,2008-04-01,4,2008
53,23,2008-05-01,5,2008
54,20,2008-06-01,6,2008
55,19,2008-07-01,7,2008
56,18,2008-08-01,8,2008
57,24,2008-09-01,9,2008
58,30,2008-10-01,10,2008
59,28,2008-11-01,11,2008
60,24,2008-12-01,12,2008
61,30,2009-01-01,1,2009
62,27,2009-02-01,2,2009
63,36,2009-03-01,3,2009
64,45,2009-04-01,4,2009
65,54,2009-05-01,5,2009
66,52,2009-06-01,6,2009
67,51,2009-07-01,7,2009
68,59,2009-08-01,8,2009
69,64,2009-09-01,9,2009
70,46,2009-10-01,10,2009
71,42,2009-11-01,11,2009
72,45,2009-12-01,12,2009
73,43,2010-01-01,1,2010
74,38,2010-02-01,2,2010
75,38,2010-03-01,3,2010
76,38,2010-04-01,4,2010
77,40,2010-05-01,5,2010
78,38,2010-06-01,6,2010
79,42,2010-07-01,7,2010
80,43,2010-08-01,8,2010
81,48,2010-09-01,9,2010
82,54,2010-10-01,10,2010
83,55,2010-11-01,11,2010
84,52,2010-12-01,12,2010
85,49,2011-01-01,1,2011
86,46,2011-02-01,2,2011
87,51,2011-03-01,3,2011
88,70,2011-04-01,4,2011
89,94,2011-05-01,5,2011
90,97,2011-06-01,6,2011
91,100,2011-07-01,7,2011
92,92,2011-08-01,8,2011
93,80,2011-09-01,9,2011
94,67,2011-10-01,10,2011
95,78,2011-11-01,11,2011
96,74,2011-12-01,12,2011
97,79,2012-01-01,1,2012
98,72,2012-02-01,2,2012
99,75,2012-03-01,3,2012
100,84,2012-04-01,4,2012
101,88,2012-05-01,5,2012
102,74,2012-06-01,6,2012
103,73,2012-07-01,7,2012
104,57,2012-08-01,8,2012
105,46,2012-09-01,9,2012
106,39,2012-10-01,10,2012
107,54,2012-11-01,11,2012
108,58,2012-12-01,12,2012
109,73,2013-01-01,1,2013
110,61,2013-02-01,2,2013
111,56,2013-03-01,3,2013
112,58,2013-04-01,4,2013
113,73,2013-05-01,5,2013
114,63,2013-06-01,6,2013
115,57,2013-07-01,7,2013
116,43,2013-08-01,8,2013
117,32,2013-09-01,9,2013
118,33,2013-10-01,10,2013
119,61,2013-11-01,11,2013
120,57,2013-12-01,12,2013
121,58,2014-01-01,1,2014
122,43,2014-02-01,2,2014
123,43,2014-03-01,3,2014
124,49,2014-04-01,4,2014
125,54,2014-05-01,5,2014
126,63,2014-06-01,6,2014
127,44,2014-07-01,7,2014
128,40,2014-08-01,8,2014
129,48,2014-09-01,9,2014
130,49,2014-10-01,10,2014
131,66,2014-11-01,11,2014
132,47,2014-12-01,12,2014
133,64,2015-01-01,1,2015
134,47,2015-02-01,2,2015
135,43,2015-03-01,3,2015
136,33,2015-04-01,4,2015
137,50,2015-05-01,5,2015
138,38,2015-06-01,6,2015
139,42,2015-07-01,7,2015
140,28,2015-08-01,8,2015
141,27,2015-09-01,9,2015
142,29,2015-10-01,10,2015
143,28,2015-11-01,11,2015
144,30,2015-12-01,12,2015
145,42,2016-01-01,1,2016
146,40,2016-02-01,2,2016
147,28,2016-03-01,3,2016
148,31,2016-04-01,4,2016
149,41,2016-05-01,5,2016
150,34,2016-06-01,6,2016
151,46,2016-07-01,7,2016
152,27,2016-08-01,8,2016
153,25,2016-09-01,9,2016
154,31,2016-10-01,10,2016
155,22,2016-11-01,11,2016
156,24,2016-12-01,12,2016
157,26,2017-01-01,1,2017
158,23,2017-02-01,2,2017
159,26,2017-03-01,3,2017
160,29,2017-04-01,4,2017
161,30,2017-05-01,5,2017
162,32,2017-06-01,6,2017
163,28,2017-07-01,7,2017
164,20,2017-08-01,8,2017
165,22,2017-09-01,9,2017
166,24,2017-10-01,10,2017
167,20,2017-11-01,11,2017
168,18,2017-12-01,12,2017
169,22,2018-01-01,1,2018
170,19,2018-02-01,2,2018
171,18,2018-03-01,3,2018
172,18,2018-04-01,4,2018
173,22,2018-05-01,5,2018
174,19,2018-06-01,6,2018
175,22,2018-07-01,7,2018
176,19,2018-08-01,8,2018
177,16,2018-09-01,9,2018
178,16,2018-10-01,10,2018
179,14,2018-11-01,11,2018
180,18,2018-12-01,12,2018
181,19,2019-01-01,1,2019
182,16,2019-02-01,2,2019
183,17,2019-03-01,3,2019
184,18,2019-04-01,4,2019
185,19,2019-05-01,5,2019
186,20,2019-06-01,6,2019
187,18,2019-07-01,7,2019
188,19,2019-08-01,8,2019
189,16,2019-09-01,9,2019
190,16,2019-10-01,10,2019
191,20,2019-11-01,11,2019
192,23,2019-12-01,12,2019
193,20,2020-01-01,1,2020
194,34,2020-02-01,2,2020
195,15,2020-03-01,3,2020
196,18,2020-04-01,4,2020
197,16,2020-05-01,5,2020
198,15,2020-06-01,6,2020
199,15,2020-07-01,7,2020
200,15,2020-08-01,8,2020
201,16,2020-09-01,9,2020
202,22,2020-10-01,10,2020
203,16,2020-11-01,11,2020
204,15,2020-12-01,12,2020
205,19,2021-01-01,1,2021
206,21,2021-02-01,2,2021
207,16,2021-03-01,3,2021
208,17,2021-04-01,4,2021
209,16,2021-05-01,5,2021
210,33,2021-06-01,6,2021
211,28,2021-07-01,7,2021
212,35,2021-08-01,8,2021
213,57,2021-09-01,9,2021
214,40,2021-10-01,10,2021
215,18,2021-11-01,11,2021
216,20,2021-12-01,12,2021
217,20,2022-01-01,1,2022
218,21,2022-02-01,2,2022
219,16,2022-03-01,3,2022
220,27,2022-04-01,4,2022
221,22,2022-05-01,5,2022
222,25,2022-06-01,6,2022
223,31,2022-07-01,7,2022
224,37,2022-08-01,8,2022
225,35,2022-09-01,9,2022
226,28,2022-10-01,10,2022
227,17,2022-11-01,11,2022
