,year,date,appearance,month,unrate,songfreq
0,2009,2009-01-01,0,1,8.5,0.0
1,2009,2009-02-01,0,2,8.9,0.0
2,2009,2009-03-01,1,3,9.0,3.0
3,2009,2009-04-01,1,4,8.6,4.0
4,2009,2009-05-01,1,5,9.1,5.0
5,2009,2009-06-01,1,6,9.7,4.0
6,2009,2009-07-01,1,7,9.7,4.0
7,2009,2009-07-01,1,7,9.7,4.0
8,2009,2009-08-01,1,8,9.6,5.0
9,2009,2009-08-01,1,8,9.6,5.0
10,2009,2009-09-01,1,9,9.5,4.0
11,2009,2009-09-01,1,9,9.5,4.0
12,2009,2009-10-01,1,10,9.5,5.0
13,2009,2009-10-01,1,10,9.5,5.0
14,2009,2009-11-01,1,11,9.4,4.0
15,2009,2009-11-01,1,11,9.4,1.0
16,2009,2009-12-01,1,12,9.7,1.0
17,2010,2010-01-01,0,1,10.6,0.0
18,2010,2010-02-01,0,2,10.4,0.0
19,2010,2010-03-01,0,3,10.2,0.0
20,2010,2010-04-01,0,4,9.5,0.0
21,2010,2010-05-01,0,5,9.3,0.0
22,2010,2010-06-01,0,6,9.6,0.0
23,2010,2010-07-01,0,7,9.7,0.0
24,2010,2010-08-01,0,8,9.5,0.0
25,2010,2010-09-01,0,9,9.2,0.0
26,2010,2010-10-01,0,10,9.0,0.0
27,2010,2010-11-01,1,11,9.3,2.0
28,2010,2010-12-01,1,12,9.1,3.0
29,2011,2011-01-01,0,1,9.8,0.0
30,2011,2011-02-01,0,2,9.5,0.0
31,2011,2011-03-01,0,3,9.2,0.0
32,2011,2011-04-01,0,4,8.7,0.0
33,2011,2011-05-01,0,5,8.7,0.0
34,2011,2011-06-01,1,6,9.3,1.0
35,2011,2011-07-01,0,7,9.3,0.0
36,2011,2011-08-01,0,8,9.1,0.0
37,2011,2011-09-01,0,9,8.8,0.0
38,2011,2011-10-01,0,10,8.5,0.0
39,2011,2011-11-01,0,11,8.2,0.0
40,2011,2011-12-01,0,12,8.3,0.0
41,2012,2012-01-01,0,1,8.8,0.0
42,2012,2012-02-01,0,2,8.7,0.0
43,2012,2012-03-01,0,3,8.4,0.0
44,2012,2012-04-01,1,4,7.7,2.0
45,2012,2012-05-01,1,5,7.9,4.0
46,2012,2012-06-01,1,6,8.4,5.0
47,2012,2012-07-01,1,7,8.6,4.0
48,2012,2012-08-01,1,8,8.2,4.0
49,2012,2012-09-01,1,9,7.6,1.0
50,2012,2012-10-01,0,10,7.5,0.0
51,2012,2012-11-01,0,11,7.4,0.0
52,2012,2012-12-01,0,12,7.6,0.0
