,date,unrate,u_men,u_women,u16_17,u18_19,u20_24,u25_34,u35_44,u45_54
0,1948-01-01,4.0,4.2,3.5,10.8,9.6,6.6,3.6,2.6,2.7
1,1948-02-01,4.7,4.7,4.8,15.0,9.5,8.0,4.0,3.2,3.4
2,1948-03-01,4.5,4.5,4.4,13.2,9.3,8.6,3.5,3.2,2.9
3,1948-04-01,4.0,4.0,4.1,9.9,8.1,6.8,3.5,3.1,2.9
4,1948-05-01,3.4,3.3,3.4,6.4,7.2,6.3,2.8,2.5,2.3
5,1948-06-01,3.9,3.4,5.0,17.7,9.8,6.3,2.7,2.2,2.3
6,1948-07-01,3.9,3.5,4.8,12.2,10.1,6.4,3.0,2.5,2.4
7,1948-08-01,3.6,3.3,4.5,7.1,8.9,5.2,3.5,2.6,2.6
8,1948-09-01,3.4,3.1,4.0,7.6,7.6,4.9,3.1,2.4,2.8
9,1948-10-01,2.9,2.6,3.4,5.7,6.3,4.6,2.6,2.1,2.1
10,1948-11-01,3.3,3.1,3.8,6.7,8.4,4.6,3.3,2.2,2.3
11,1948-12-01,3.6,3.6,3.7,6.5,8.0,5.6,2.9,2.5,3.2
12,1949-01-01,5.0,5.2,4.6,10.9,12.1,7.6,4.6,3.7,3.9
13,1949-02-01,5.8,6.0,5.2,14.1,10.9,9.6,4.9,4.4,4.4
14,1949-03-01,5.6,6.0,4.7,13.2,11.7,8.9,5.0,4.3,4.0
15,1949-04-01,5.4,5.5,5.3,12.0,12.0,8.1,5.0,4.1,4.2
16,1949-05-01,5.7,5.8,5.7,13.7,12.7,9.1,5.2,4.2,4.1
17,1949-06-01,6.4,6.2,6.9,21.0,17.6,10.1,5.6,3.8,3.8
18,1949-07-01,7.0,6.8,7.5,16.6,15.5,11.2,6.3,5.0,4.5
19,1949-08-01,6.3,6.1,6.9,12.6,12.7,10.4,5.7,4.7,4.5
20,1949-09-01,5.9,5.5,6.7,11.8,13.8,9.2,5.2,4.6,4.0
21,1949-10-01,6.1,6.2,5.9,12.7,11.1,9.9,6.3,4.8,4.5
22,1949-11-01,5.7,5.5,6.2,11.4,12.4,8.5,5.4,4.6,4.3
23,1949-12-01,6.0,6.1,5.9,14.5,13.2,8.4,5.6,4.6,4.8
24,1950-01-01,7.6,7.8,7.3,19.9,16.3,11.6,7.2,5.0,6.4
25,1950-02-01,7.9,8.1,7.4,17.5,17.2,12.2,7.1,5.5,6.5
26,1950-03-01,7.1,7.2,6.7,15.2,14.1,10.2,6.8,5.5,5.5
27,1950-04-01,6.0,6.2,5.3,12.2,10.2,8.4,5.5,4.7,5.0
28,1950-05-01,5.3,5.2,5.5,15.6,11.4,7.6,5.0,3.9,3.9
29,1950-06-01,5.6,5.1,6.7,19.7,15.5,8.1,4.6,3.2,3.8
30,1950-07-01,5.3,4.9,6.2,14.7,11.1,7.5,4.9,3.7,3.9
31,1950-08-01,4.1,3.8,4.8,9.1,8.6,6.0,3.8,3.0,3.3
32,1950-09-01,4.0,3.5,5.0,10.6,8.8,6.6,3.3,2.9,3.0
33,1950-10-01,3.3,2.9,4.2,8.4,7.1,4.2,2.7,2.5,2.8
34,1950-11-01,3.8,3.1,5.2,9.2,7.5,4.9,3.7,2.8,3.0
35,1950-12-01,3.9,3.6,4.5,12.8,7.6,4.6,3.5,3.0,3.0
36,1951-01-01,4.4,4.1,5.0,11.0,8.8,5.0,3.8,3.7,3.4
37,1951-02-01,4.2,3.9,4.8,10.0,8.8,4.9,3.9,3.1,3.1
38,1951-03-01,3.8,3.2,5.0,10.0,7.2,4.9,3.7,2.8,2.8
39,1951-04-01,3.2,2.7,4.3,8.2,6.6,4.1,2.7,2.4,2.8
40,1951-05-01,2.9,2.3,4.0,7.6,5.7,3.5,2.5,2.2,2.6
41,1951-06-01,3.4,2.8,4.8,13.9,10.8,4.3,2.5,2.1,2.7
42,1951-07-01,3.3,2.8,4.3,11.8,7.9,4.3,2.6,2.3,2.5
43,1951-08-01,2.9,2.4,3.9,8.5,5.2,3.3,2.7,2.3,2.7
44,1951-09-01,3.0,2.4,4.5,7.5,7.2,3.8,2.9,2.3,2.8
45,1951-10-01,2.8,2.3,3.9,6.1,5.4,3.8,2.5,2.2,2.2
46,1951-11-01,3.2,2.6,4.5,10.7,6.3,4.1,2.9,2.6,2.4
47,1951-12-01,2.9,2.5,3.7,8.6,5.5,3.4,2.8,2.2,2.5
48,1952-01-01,3.7,3.5,4.2,11.9,9.7,4.8,3.4,2.8,3.0
49,1952-02-01,3.8,3.7,4.2,12.0,7.9,5.4,3.5,3.2,2.9
50,1952-03-01,3.3,3.2,3.5,9.5,7.4,4.9,2.6,2.5,2.8
51,1952-04-01,3.0,2.8,3.5,7.9,6.2,4.6,2.7,2.4,2.3
52,1952-05-01,2.9,2.5,3.8,11.5,6.6,4.1,2.4,2.0,2.2
53,1952-06-01,3.2,2.9,4.0,14.0,10.5,4.6,2.2,2.0,2.5
54,1952-07-01,3.3,3.0,4.0,10.9,8.3,4.8,2.7,2.5,2.2
55,1952-08-01,3.1,2.7,3.8,7.6,6.3,4.7,2.7,2.5,2.3
56,1952-09-01,2.7,2.5,3.3,8.0,7.5,5.0,2.6,1.7,1.9
57,1952-10-01,2.4,1.9,3.3,7.6,5.4,4.1,2.1,1.9,1.7
58,1952-11-01,2.5,2.1,3.4,9.0,5.5,3.7,2.4,2.0,1.9
59,1952-12-01,2.5,2.4,2.7,9.3,5.3,4.4,2.1,1.7,1.8
60,1953-01-01,3.4,3.5,3.3,10.2,5.9,4.6,3.3,2.6,2.9
61,1953-02-01,3.2,3.2,3.2,8.0,7.6,4.4,2.9,2.1,2.6
62,1953-03-01,2.9,2.8,3.3,7.9,6.0,4.8,2.3,2.4,2.2
63,1953-04-01,2.8,2.8,2.9,6.9,5.9,4.7,2.4,2.3,2.2
64,1953-05-01,2.5,2.4,2.6,7.6,5.5,3.5,2.3,1.8,2.2
65,1953-06-01,2.7,2.5,3.2,10.9,9.9,4.5,2.0,1.6,1.9
66,1953-07-01,2.7,2.5,3.0,9.0,7.0,3.7,2.0,2.1,1.7
67,1953-08-01,2.4,2.1,2.9,6.4,5.4,4.8,2.0,1.8,1.5
68,1953-09-01,2.6,2.2,3.4,7.1,5.8,4.4,2.2,1.8,2.3
69,1953-10-01,2.5,2.2,3.1,9.7,5.9,3.6,2.3,2.0,2.0
70,1953-11-01,3.2,2.9,3.8,8.8,6.7,5.3,3.1,2.3,2.5
71,1953-12-01,4.2,4.1,4.5,11.5,10.1,8.0,3.7,3.1,3.4
72,1954-01-01,5.7,5.4,6.4,12.8,10.2,10.0,5.1,4.6,4.8
73,1954-02-01,6.3,6.3,6.3,16.3,13.5,11.1,6.0,4.9,4.9
74,1954-03-01,6.4,6.3,6.5,14.3,11.2,10.6,6.5,4.9,5.0
75,1954-04-01,6.1,5.9,6.3,12.4,10.1,10.2,5.7,4.8,5.3
76,1954-05-01,5.7,5.5,6.3,13.1,12.9,8.9,5.6,4.7,4.7
77,1954-06-01,5.7,5.3,6.7,16.7,13.6,9.4,5.1,4.4,4.5
78,1954-07-01,5.7,5.5,6.4,14.5,11.9,9.1,5.3,4.6,4.1
79,1954-08-01,5.4,5.1,6.2,12.0,10.4,8.4,5.5,4.4,4.2
80,1954-09-01,5.3,4.9,6.3,13.1,9.7,9.1,5.3,4.8,3.9
81,1954-10-01,4.6,4.4,5.0,10.6,6.7,7.4,4.8,3.7,3.5
82,1954-11-01,4.9,4.5,5.6,10.7,8.9,8.6,4.5,3.8,3.9
83,1954-12-01,4.8,4.9,4.6,13.6,9.5,7.9,4.0,3.9,3.9
84,1955-01-01,5.8,5.9,5.7,13.0,12.7,9.5,4.9,5.0,4.6
85,1955-02-01,5.7,5.8,5.3,11.7,13.2,9.0,5.3,4.8,4.2
86,1955-03-01,5.2,5.4,4.8,10.7,11.4,8.1,5.2,4.4,3.8
87,1955-04-01,4.9,5.1,4.7,9.7,9.8,7.5,5.0,4.0,4.2
88,1955-05-01,4.2,3.9,4.8,12.1,10.7,6.9,3.3,3.4,3.1
89,1955-06-01,4.4,4.0,5.2,18.7,13.3,7.8,3.1,2.8,3.0
90,1955-07-01,4.0,3.7,4.7,14.3,8.3,7.0,3.1,2.8,2.9
91,1955-08-01,3.8,3.3,4.9,11.3,7.5,6.1,3.2,2.6,3.0
92,1955-09-01,3.5,2.9,4.8,9.8,9.5,6.1,3.4,2.5,2.3
93,1955-10-01,3.4,3.0,4.4,9.6,7.9,5.1,2.9,2.5,2.8
94,1955-11-01,3.8,3.3,4.9,11.1,9.9,5.3,3.2,2.9,3.2
95,1955-12-01,3.9,3.8,4.3,12.8,7.8,5.9,3.4,2.9,3.3
96,1956-01-01,4.7,4.6,4.9,12.3,10.7,7.4,4.4,3.8,3.5
97,1956-02-01,4.8,4.9,4.6,12.5,12.7,6.8,4.2,3.3,4.5
98,1956-03-01,4.7,4.6,5.1,10.7,11.9,7.9,4.5,3.4,4.2
99,1956-04-01,4.1,3.9,4.7,10.7,9.5,6.9,3.4,3.1,3.4
100,1956-05-01,4.2,3.8,5.0,15.1,10.4,6.7,3.6,2.9,3.2
101,1956-06-01,4.7,4.1,6.0,22.3,14.1,7.5,3.8,2.8,2.4
102,1956-07-01,4.4,3.7,5.9,12.3,11.6,7.1,4.0,3.2,2.9
103,1956-08-01,3.7,3.1,4.8,8.0,8.3,6.1,3.3,3.0,2.7
104,1956-09-01,3.4,2.9,4.4,9.2,7.6,5.3,3.4,2.6,2.6
105,1956-10-01,3.1,2.7,4.0,9.4,6.9,5.4,2.8,2.3,2.4
106,1956-11-01,3.9,3.4,4.8,12.6,10.1,5.8,3.4,2.8,3.2
107,1956-12-01,4.0,4.0,4.1,8.8,8.5,7.0,3.5,3.1,3.3
108,1957-01-01,4.9,4.8,5.2,13.3,11.6,8.1,4.4,3.9,4.1
109,1957-02-01,4.7,4.7,4.8,11.1,11.8,8.4,4.2,3.4,3.8
110,1957-03-01,4.3,4.3,4.3,12.3,10.9,6.7,3.8,3.2,3.4
111,1957-04-01,4.0,3.9,4.0,10.5,10.2,6.7,3.7,3.1,2.9
112,1957-05-01,3.9,3.6,4.7,12.3,12.0,6.4,3.7,2.6,2.8
113,1957-06-01,4.6,4.1,5.6,18.8,16.0,7.8,3.6,2.8,2.8
114,1957-07-01,4.1,3.7,5.1,13.9,11.0,6.2,3.8,2.8,2.7
115,1957-08-01,3.7,3.3,4.6,9.6,9.0,6.5,3.5,2.6,2.8
116,1957-09-01,3.7,3.4,4.4,10.0,9.0,5.8,3.6,3.0,2.9
117,1957-10-01,3.6,3.5,4.0,9.5,8.0,5.8,3.3,3.0,3.0
118,1957-11-01,4.6,4.4,5.1,13.7,10.6,8.1,4.1,3.5,3.9
119,1957-12-01,5.0,5.3,4.4,12.6,10.9,8.3,4.8,3.9,4.0
120,1958-01-01,6.8,7.0,6.3,13.4,16.2,11.8,6.9,5.6,5.1
121,1958-02-01,7.7,8.0,7.1,14.7,16.5,13.1,7.9,6.8,5.8
122,1958-03-01,7.7,8.2,6.7,14.5,15.6,13.4,8.1,6.5,5.9
123,1958-04-01,7.5,7.6,7.3,17.6,15.0,12.9,7.6,6.1,6.1
124,1958-05-01,7.1,7.1,7.2,19.6,15.3,11.6,7.4,5.7,5.5
125,1958-06-01,7.6,7.3,8.2,24.3,20.6,12.6,7.3,5.3,5.4
126,1958-07-01,7.4,7.2,7.8,19.7,17.7,12.2,7.2,5.5,5.3
127,1958-08-01,6.7,6.5,7.2,11.6,14.1,10.7,6.6,5.4,5.4
128,1958-09-01,6.0,5.7,6.7,14.7,15.7,9.1,5.8,4.8,4.5
